,Muestra,Valor
680,680,360
681,681,352
682,682,314
683,683,317
684,684,348
685,685,331
686,686,321
687,687,328
688,688,304
689,689,294
690,690,332
691,691,312
692,692,308
693,693,258
694,694,290
695,695,288
696,696,289
697,697,248
698,698,268
699,699,272
700,700,253
701,701,272
702,702,253
703,703,230
704,704,232
705,705,232
706,706,270
707,707,244
708,708,237
709,709,204
710,710,209
711,711,220
712,712,219
713,713,213
714,714,214
715,715,216
716,716,196
717,717,224
718,718,213
719,719,214
720,720,186
721,721,220
722,722,180
723,723,173
724,724,215
725,725,192
726,726,196
727,727,186
728,728,146
729,729,173
730,730,178
731,731,182
732,732,181
733,733,184
734,734,190
735,735,180
736,736,143
737,737,158
738,738,186
739,739,149
740,740,153
741,741,168
742,742,161
743,743,141
744,744,138
745,745,166
746,746,160
747,747,145
748,748,135
749,749,148
750,750,126
751,751,156
752,752,122
753,753,149
754,754,177
755,755,122
756,756,128
757,757,116
758,758,141
759,759,149
760,760,144
761,761,142
762,762,123
763,763,123
764,764,126
765,765,125
766,766,123
767,767,135
768,768,127
769,769,159
770,770,398
771,771,670
772,772,916
773,773,1138
774,774,1400
775,775,1630
776,776,1861
777,777,2075
778,778,2276
779,779,2497
780,780,2700
781,781,2896
782,782,3064
783,783,3260
784,784,3460
785,785,3632
786,786,3837
787,787,3960
788,788,4120
789,789,4289
790,790,4429
791,791,4620
792,792,4772
793,793,4892
794,794,5067
795,795,5183
796,796,5346
797,797,5488
798,798,5568
799,799,5712
800,800,5856
801,801,5953
802,802,6120
803,803,6220
804,804,6349
805,805,6456
806,806,6532
807,807,6649
808,808,6774
809,809,6891
810,810,6980
811,811,7081
812,812,7174
813,813,7284
814,814,7349
815,815,7465
816,816,7551
817,817,7620
818,818,7708
819,819,7784
820,820,7870
821,821,7961
822,822,8032
823,823,8100
824,824,8154
825,825,8243
826,826,8320
827,827,8378
828,828,8434
829,829,8502
830,830,8582
831,831,8628
832,832,8700
833,833,8757
834,834,8804
835,835,8885
836,836,8942
837,837,8982
838,838,9040
839,839,9100
840,840,9167
841,841,9200
842,842,9248
843,843,9273
844,844,9344
845,845,9378
846,846,9406
847,847,9479
848,848,9532
849,849,9550
850,850,9598
851,851,9626
852,852,9701
853,853,9706
854,854,9778
855,855,9786
856,856,9831
857,857,9897
858,858,9904
859,859,9924
860,860,9968
861,861,10023
862,862,10055
863,863,10100
864,864,10068
865,865,10102
866,866,10156
867,867,10183
868,868,10233
869,869,10256
870,870,10285
871,871,10318
872,872,10331
873,873,10374
874,874,10376
875,875,10409
876,876,10457
877,877,10445
878,878,10460
879,879,10488
880,880,10525
881,881,10505
882,882,10560
883,883,10574
884,884,10624
885,885,10602
886,886,10645
887,887,10645
888,888,10672
889,889,10709
890,890,10717
891,891,10729
892,892,10748
893,893,10765
894,894,10762
895,895,10774
896,896,10778
897,897,10832
898,898,10827
899,899,10859
900,900,10875
901,901,10873
902,902,10906
903,903,10917
904,904,10946
905,905,10924
906,906,10968
907,907,10945
908,908,10956
909,909,10989
910,910,11006
911,911,11030
912,912,11013
913,913,11016
914,914,11037
915,915,11039
916,916,11081
917,917,11053
918,918,11090
919,919,11070
920,920,11094
921,921,11130
922,922,11140
923,923,11122
924,924,11148
925,925,11125
926,926,11148
927,927,11172
928,928,11203
929,929,11194
930,930,11172
931,931,11206
932,932,11194
933,933,11214
934,934,11210
935,935,11251
936,936,11230
937,937,11234
938,938,11236
939,939,11290
940,940,11276
941,941,11264
942,942,11257
943,943,11287
944,944,11304
945,945,11288
946,946,11290
947,947,11317
948,948,11318
949,949,11312
950,950,11324
951,951,11332
952,952,11310
953,953,11340
954,954,11336
955,955,11343
956,956,11343
957,957,11341
958,958,11360
959,959,11353
960,960,11354
961,961,11398
962,962,11378
963,963,11381
964,964,11401
965,965,11394
966,966,11400
967,967,11388
968,968,11389
969,969,11392
970,970,11401
971,971,11412
972,972,11389
973,973,11420
974,974,11420
975,975,11411
976,976,11432
977,977,11436
978,978,11421
979,979,11463
980,980,11418
981,981,11443
982,982,11438
983,983,11443
984,984,11458
985,985,11452
986,986,11451
987,987,11458
988,988,11463
989,989,11468
990,990,11446
991,991,11441
992,992,11476
993,993,11467
994,994,11468
995,995,11464
996,996,11462
997,997,11467
998,998,11491
999,999,11497
1000,1000,11485
1001,1001,11484
1002,1002,11504
1003,1003,11496
1004,1004,11485
1005,1005,11498
1006,1006,11501
1007,1007,11488
1008,1008,11474
1009,1009,11468
1010,1010,11488
1011,1011,11519
1012,1012,11510
1013,1013,11512
1014,1014,11515
1015,1015,11515
1016,1016,11512
1017,1017,11500
1018,1018,11528
1019,1019,11505
1020,1020,11517
1021,1021,11502
1022,1022,11516
1023,1023,0
